Type,variant_id,Name,abc_compressed = { + concatenated gracenotes + } + target note,abc_steps = comma‑separated gracenotes only,target_note = final melodic note (case preserved),durations_ms,timing_ratio,anchor,is_default
Doublings,,Doubling Low G,{gGd}G,"G,d",G,"25,50,25","1,2,1",1,
Doublings,,Doubling Low A,{gAd}A,"G,d",A,"25,50,25","1,2,1",1,
Doublings,,Doubling B,{gBd}B,"G,d",B,"25,50,25","1,2,1",1,
Doublings,,Doubling C,{gcd}c,"G,d",c,"25,50,25","1,2,1",1,
Doublings,,Doubling D,{gde}d,"G,d,e",d,"25,50,25","1,2,1",1,
Doublings,,Doubling E,{gef}e,"g,e,f",e,"25,50,25","1,2,1",1,
Doublings,,Doubling F,{gfg}f,"g,f,g",f,"25,50,25","1,2,1",1,
Doublings,,Doubling High G,{gf}g,"g,f",g,"25,25","1,1",1,
Doublings,,Doubling High A,{ag}a,"a,g",a,"25,25","1,1",1,
,,,,,,,,,
Doublings,,Thumb doubling on Low G,{aGd}G,"a,G,d",G,"25,50,25","1,2,1",1,
Doublings,,Thumb doubling on Low A,{aAd}A,"a,A,d",A,"25,50,25","1,2,1",1,
Doublings,,Thumb doubling on B,{aBd}B,"a,B,d",B,"25,50,25","1,2,1",1,
Doublings,,Thumb doubling on C,{acd}c,"a,c,d",c,"25,50,25","1,2,1",1,
Doublings,,Thumb doubling on D,{ade}d,"a,d,e",d,"25,50,25","1,2,1",1,
Doublings,,Thumb doubling on E,{aef}e,"a,e,f",e,"25,50,25","1,2,1",1,
Doublings,,Thumb doubling on F,{afg}f,"a,f,g",f,"25,50,25","1,2,1",1,
,,,,,,,,,
Doublings,,Half doubling on low G,{Gd}G,"G,d",G,"25,25","1,1",1,
Doublings,,Half doubling on A,{Ad}A,"A,d",A,"25,25","1,1",1,
Doublings,,Half doubling on B,{Bd}B,"B,d",B,"25,25","1,1",1,
Doublings,,Half doubling on C,{cd}c,"c,d",c,"25,25","1,1",1,
Doublings,,Half doubling on D,{de}d,"d,e",d,"25,25","1,1",1,
Doublings,,Half doubling on E,{ef}e,"e,f",e,"25,25","1,1",1,
Doublings,,Half doubling on F,{fg}f,"f,g",f,"25,25","1,1",1,
,,,,,,,,,
Bagpipe Movements,,Throw on D ,{GdGc}d,"G,d,G,c",d,"40,20,40,40","2,1,2,2",1,
Bagpipe Movements,,Throw on D (light),{Gdc}d,"G,d,c",d,"60,25,30","2,1,1",1,
Bagpipe Movements,,Half throw on D,{dc}d,"d,c",d,"25,30",,,
,,,,,,,,,
Bagpipe Movements,,Grip,{GdG}G,"G,d,G",G,"40,30,30","1,1,1",1,
Bagpipe Movements,,B Grip,{GBG}B,"G,B,G",B,"30,30,30","1,1,1",1,
Bagpipe Movements,,Birl,{GAG}A,"G,A,G",A,"40,30,30","1,1,1",1,
Bagpipe Movements,,Birl from A,{AGAG}A,"A,G,A,G",A,"40,30,30,30","1,1,1,1",1,
Bagpipe Movements,,Birl with A gracenote,{aAGAG}A,"a,A,G,A,G",A,"40,30,30,30,30","1,1,1,1,1",1,
Bagpipe Movements,,Birl with G gracenote,{gAGAG}A,"g,A,G,A,G",A,"40,30,30,30,30","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Taorluath,{GdGe}e,"G,d,G,e",e,"30,30,30,30","1,1,1,1",1,
Bagpipe Movements,,Touchdown (hstla),{AG}G,"A,G",G,"40,30","1,1",1,
,,,,,,,,,
Bagpipe Movements,,Bubbly note on low G,{GdGcG}G,"G,d,G,c,G",G,"25,25,25,25,25","1,1,1,1,1",1,
Bagpipe Movements,,Bubbly note without G gracenote,{dGcG}G,"d,G,c,G",G,"25,25,25,25","1,1,1,1",1,
Bagpipe Movements,,Bubbly note on low G,{gBGcG}G,"g,B,G,c,G",G,"25,25,25,25,25","1,1,1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Strike on Low A,{gBA}A,"g,B,A",A,"40,30,30","1,1,1",1,
Bagpipe Movements,,Strike on B,{gBG}B,"g,B,G",B,"40,30,30","1,1,1",1,
Bagpipe Movements,,Strike on C,{gcG}c,"g,c,G",c,"40,30,30","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Strike on D (open),{gdc}d,"g,d,c",d,"20,20,20","1,1,1",1,
Bagpipe Movements,,Strike on D (closed),{gdG}d,"g,d,G",d,"40,30,30","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Strike on E,{geA}e,"g,e,A",e,"20,20,20","1,1,1",1,
Bagpipe Movements,,Strike on F,{gfE}f,"g,f,e",f,"20,20,20","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Thumb strike on Low A,{aBA}A,"a,B,A",A,"40,30,30","1,1,1",1,
Bagpipe Movements,,Thumb strike on B,{aBG}B,"a,B,G",B,"40,30,30","1,1,1",1,
Bagpipe Movements,,Thumb strike on C,{acG}c,"a,c,G",c,"40,30,30","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Thumb strike on D (open),{adc}d,"a,d,c",d,"40,30,30","1,1,1",1,
Bagpipe Movements,,Thumb strike on D (closed),{adc}d,"a,d,c",d,"40,30,30","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Thumb strike on E,{aeA}e,"a,e,A",e,"40,30,30","1,1,1",1,
Bagpipe Movements,,Thumb strike on F,{afE}f,"a,f,e",f,"40,30,30","1,1,1",1,
Bagpipe Movements,,Thumb strike on High G,{agf}g,"a,g,f",g,"40,30,30","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Half strike on Low A,{AG}A,"A,G",A,"30,30","1,1,1",1,
Bagpipe Movements,,Half strike on B,{BG}B,"B,G",B,"30,30","1,1,1",1,
Bagpipe Movements,,Half strike on C,{cG}c,"c,G",c,"30,30","1,1,1",1,
,,,,,,,,,
Bagpipe Movements,,Half Strike on D (closed),{dG}d,"d,G",d,"40,30","1,1",1,
Bagpipe Movements,,Half Strike on D (open),{dc}d,"d,c",d,"40,30","1,1",1,
,,,,,,,,,
Bagpipe Movements,,Half Strike on E,{eA}e,"e,A",e,"40,30","1,1",1,
